Date,Year,Month,YearMonth,BusinessUnit,StatementType,LineItem,Category,Amount
2023-01-01,2023,1,202301,Corporate,CF,Financing CF,Debt Repayment,-9000.0
2023-01-01,2023,1,202301,Corporate,P&L,Other,Depreciation & Amortization,18496.3
2023-01-01,2023,1,202301,Corporate,P&L,Other,Income Tax Expense,6897.95
2023-01-01,2023,1,202301,Corporate,P&L,Other,Interest Expense,5321.63
2023-01-01,2023,1,202301,E-commerce,CF,Investing CF,Capital Expenditures,-10156.54
2023-01-01,2023,1,202301,E-commerce,CF,Operating CF,Change in Accounts Payable,1296.7
2023-01-01,2023,1,202301,E-commerce,CF,Operating CF,Change in Accounts Receivable,-1947.25
2023-01-01,2023,1,202301,E-commerce,CF,Operating CF,Change in Inventory,-1272.68
2023-01-01,2023,1,202301,E-commerce,P&L,COGS,Direct Labor,13711.49
2023-01-01,2023,1,202301,E-commerce,P&L,COGS,Materials,23566.63
2023-01-01,2023,1,202301,E-commerce,P&L,COGS,Shipping & Logistics,5570.29
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,IT & Software,1060.89
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,Marketing,4330.28
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,Professional Fees,605.05
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,R&D,2877.81
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,Rent & Utilities,1836.18
2023-01-01,2023,1,202301,E-commerce,P&L,Opex,Salaries & Benefits,12726.42
2023-01-01,2023,1,202301,E-commerce,P&L,Revenue,Product Sales,74740.27
2023-01-01,2023,1,202301,E-commerce,P&L,Revenue,Service Revenue,8304.47
2023-01-01,2023,1,202301,Retail,CF,Investing CF,Capital Expenditures,-9343.57
2023-01-01,2023,1,202301,Retail,CF,Operating CF,Change in Accounts Payable,3993.44
2023-01-01,2023,1,202301,Retail,CF,Operating CF,Change in Accounts Receivable,-5901.43
2023-01-01,2023,1,202301,Retail,CF,Operating CF,Change in Inventory,-2565.44
